CodeName,Order,q_id,content,choice_a,choice_b
*-*-*-*-*,B25-00001,B25-00001,고민상담에 무엇이 더 중요하다고 생각합니까?,뼈있는 조언,편안한 공감
*-*-*-*-*,B25-00002,B25-00002,주말 에너지를 충전하기에 더 좋은 것은?,집에서 온전히 휴식,사람들과 활기찬 만남
*-*-*-*-*,B25-00003,B25-00003,"친구가 어색하고 이상한 옷을 입고 왔다면?(특, 잘 삐침)",솔직하게 별로라 말한다,개성이려니 하고 상관안한다
*-*-*-*-*,B25-00004,B25-00004,중요한 결정을 내릴 때 당신은?,데이터를 분석해서 판단,데이터와 직감을 더해서 판단
*-*-*-*-*,B25-00005,B25-00005,당신의 이상적인 인간관계는?,소수의 깊은 관계,다수의 넓은 관계
*-*-*-*-*,B25-00006,B25-00006,새로운 진로 선택을 할 때 당신의 기준은?,고통있지만 급성장 있는 길,안정적으로 유지되는 길
*-*-*-*-*,B25-00007,B25-00007,연애할 때 더 중요한 건?,불꽃 튀는 뜨거움,잔잔하고 편안한 안정감
*-*-*-*-*,B25-00008,B25-00008,"중요한 일을 결정할 때, 당신의 마음을 움직이는 것은?",논리에 기반한 합리적 판단,감성과 직감에 따른 끌림
*-*-*-*-*,B25-00009,B25-00009,길을 걷다 갑자기 넘어져 버렸을 때 당신의 첫 반응은?,주변 시선보다 내 아픔이 먼저! 바로 곡소리 내며 아파함,괜찮은 척 벌떡 일어나 아무렇지 않은 듯 빠르게 자리를 뜸
*-*-*-*-*,B25-00010,B25-00010,만족스러운 인생을 만들기 위한 나의 선택은?,후회없이 하고 싶은 것을 모두 해본다,미래의 안락함을 만들기 위해 지금은 이겨낸다
*-*-*-*-*,B25-00011,B25-00011,당신에게 더 큰 스트레스를 주는 상황은?,나의 실수가 남들에게 영향을 주는 것.,남의 실수 때문에 내가 영향을 받는 것.
*-*-*-*-*,B25-00012,B25-00012,당신의 삶을 이끄는 원동력을 고른다면?,안정된 일상유지,도전적인 미래
*-*-*-*-*,B25-00013,B25-00013,"솔로인 당신, 휴가를 더 완벽하게 보내는 방법은?","집에서 좋아하는 영화, 게임, 책과 함께.",약속을 잡고 사람들과 활기차게 어울리기.
*-*-*-*-*,B25-00014,B25-00014,갑자기 큰 돈이 생겼다면 가장 먼저 할 일은?,쇼핑,여행
*-*-*-*-*,B25-00015,B25-00015,스트레스 해소법은?,혼자만의 시간,친구들과의 시간
*-*-*-*-*,B25-00016,B25-00016,"SNS에서 불편한 게시물을 봤다, 더 나은 대처방법은?",망설임 없이 차단,댓글로 일침 남기기
*-*-*-*-*,B25-00017,B25-00017,어색한 침묵이 흐를 때 당신은?,먼저 분위기를 띄운다,말을 꺼낼 때까지 기다린다
*-*-*-*-*,B25-00018,B25-00018,공공장소에서 더 참기 힘든 소리는?,누군가의 ASMR 급 쩝쩝 소리,꺼지지 않는 알람 소리 “띠리링~ 띠리링~”
*-*-*-*-*,B25-00019,B25-00019,해외여행에서 더 만족도가 떨어지는 상황은?,같이 간 친구가 매 순간 “한국이 더 낫다” 비교,공들여 고른 맛집이 현지인도 안 오는 곳
*-*-*-*-*,B25-00020,B25-00020,갈등 상황에서 당신의 방식은?,솔직하게 직접적으로 말하기,다른사람의 이야기인 것 처럼 돌려 말하기
*-*-*-*-*,B25-00021,B25-00021,사람들 앞에서 둘 중 더 끔찍한 상황은?,생각보다 방귀 소리가 심할 때,생각보다 트림 소리가 클 때
*-*-*-*-*,B25-00022,B25-00022,참을 수 없는 스트레스를 푸는 더 나은 방법은?,익명으로 카페에 글올려서 의견받기,혼자 집에서 천장보고 쌍욕날리기
*-*-*-*-*,B25-00023,B25-00023,당신에게 더 완벽한 인생이란?,하고 싶은 일 하며 사는 인생,하기 싫은 걸 안 하고 사는 인생
*-*-*-*-*,B25-00024,B25-00024,삶의 만족감을 얻는데 더 도움이 되는 것은?,최신 IT 디바이스 득템,디지털 디톡스하며 여행
*-*-*-*-*,B25-00025,B25-00025,중요한 선택의 기로에 섰을 때 더 맞이하기 싫은 상황은?,주변 사람들의 조언 폭탄,"전기, 와이파이 없어서 정보검색 안됨"
*-*-*-*-*,B25-00026,B25-00026,내가 술먹고 실수로 이불킼 하는 순간을 만들었다면?,“전남/여친에게 인스타 "좋아요"보냈을때,짝사랑 남/여에게 고백 후 까였을때
*-*-*-*-*,B25-00027,B25-00027,지인들과 관계를 유지하는 나의 방식에 더 가까운 것은?,가끔 소식 확인,자주 만나서 이바구.
